,W/L%,PW,SRS,NRtg,ORtg,TS%,DRtg,PA/G,eFG%,3P%,FG%
0,0.722,55,8.97,9.3,117.6,0.597,108.3,107.2,0.563,0.389,0.468
1,0.653,49,6.02,6.4,117.6,0.599,111.2,107.8,0.564,0.411,0.482
2,0.708,49,5.67,5.9,117.2,0.597,111.3,109.5,0.564,0.378,0.49
3,0.639,48,5.57,5.8,117.2,0.593,111.4,114.2,0.566,0.389,0.487
4,0.681,48,5.28,5.6,113.2,0.579,107.6,108.1,0.541,0.374,0.476
5,0.653,47,4.82,5.0,117.1,0.588,112.1,110.1,0.557,0.377,0.485
6,0.667,46,4.24,4.5,118.3,0.61,113.8,114.1,0.575,0.392,0.494
7,0.583,42,2.77,2.8,109.9,0.569,107.1,106.8,0.536,0.354,0.472
8,0.583,41,2.26,2.4,115.4,0.582,113.0,110.2,0.55,0.362,0.47
9,0.569,41,2.13,2.4,110.6,0.559,108.2,104.7,0.524,0.392,0.456
10,0.569,41,2.14,2.4,115.7,0.581,113.3,111.4,0.539,0.373,0.468
11,0.583,40,1.81,1.8,117.8,0.577,116.0,114.3,0.54,0.385,0.453
12,0.5,39,1.32,1.5,114.0,0.574,112.5,111.2,0.543,0.374,0.466
13,0.542,38,1.1,1.0,111.1,0.583,110.1,112.7,0.551,0.376,0.468
14,0.528,38,1.07,1.0,112.0,0.56,111.0,112.3,0.528,0.356,0.467
15,0.556,36,-0.06,0.0,111.2,0.581,111.2,108.0,0.546,0.358,0.468
16,0.472,36,-0.13,0.0,112.4,0.575,112.4,115.3,0.542,0.364,0.474
17,0.431,35,-0.2,-0.3,113.5,0.57,113.8,114.9,0.537,0.348,0.477
18,0.375,35,-0.54,-0.5,112.0,0.567,112.5,111.7,0.529,0.368,0.448
19,0.431,34,-0.94,-0.9,111.1,0.575,112.0,111.6,0.547,0.37,0.476
20,0.458,32,-1.58,-1.8,111.0,0.554,112.8,112.8,0.517,0.35,0.462
21,0.472,32,-1.85,-1.8,111.2,0.569,113.0,118.5,0.531,0.351,0.475
22,0.458,32,-1.94,-1.9,110.9,0.564,112.8,111.4,0.532,0.369,0.455
23,0.431,28,-3.45,-3.6,113.6,0.578,117.2,117.4,0.549,0.364,0.481
24,0.278,26,-4.38,-4.5,108.0,0.556,112.5,111.1,0.519,0.351,0.452
25,0.319,24,-5.25,-5.5,109.5,0.555,115.0,117.7,0.52,0.349,0.448
26,0.236,20,-7.5,-7.8,107.1,0.553,114.9,116.7,0.521,0.339,0.444
27,0.306,18,-8.19,-8.6,105.8,0.543,114.4,112.3,0.508,0.336,0.45
28,0.292,17,-9.02,-9.4,105.1,0.527,114.5,113.3,0.49,0.343,0.429
29,0.306,15,-10.13,-10.5,103.5,0.539,114.0,115.6,0.509,0.339,0.441
30,,36,0.0,,112.3,0.572,112.3,,0.538,,
31,0.622,59,7.02,7.5,114.4,0.578,106.9,104.5,0.542,0.356,0.466
32,0.78,59,6.94,7.5,114.8,0.581,107.3,107.3,0.549,0.364,0.485
33,0.598,56,5.67,6.2,116.7,0.589,110.5,107.6,0.555,0.36,0.471
34,0.683,55,5.37,5.6,114.6,0.553,109.0,109.9,0.522,0.353,0.461
35,0.646,55,5.52,5.6,112.5,0.582,106.9,105.5,0.552,0.364,0.469
36,0.646,53,4.23,4.6,113.7,0.584,109.1,105.6,0.547,0.379,0.467
37,0.634,50,3.12,3.4,112.8,0.572,109.4,104.7,0.538,0.35,0.461
38,0.622,49,3.22,3.3,115.1,0.58,111.8,112.1,0.546,0.366,0.468
39,0.622,48,2.57,2.7,113.5,0.578,110.8,107.3,0.534,0.364,0.466
40,0.561,48,2.53,2.6,114.3,0.573,111.7,113.3,0.539,0.358,0.457
41,0.585,47,2.16,2.4,114.5,0.59,112.1,110.4,0.556,0.353,0.483
42,0.585,47,2.38,2.4,112.9,0.543,110.5,107.1,0.51,0.349,0.445
43,0.537,47,2.04,2.2,111.9,0.571,109.7,105.7,0.538,0.355,0.469
44,0.524,45,1.55,1.6,116.5,0.581,114.9,112.4,0.543,0.374,0.47
45,0.537,43,0.82,0.8,113.6,0.576,112.8,112.1,0.54,0.361,0.475
46,0.524,42,0.53,0.4,114.1,0.572,113.7,114.9,0.544,0.365,0.468
47,0.415,41,0.02,0.1,112.4,0.556,112.3,113.0,0.527,0.352,0.467
48,0.512,41,0.09,0.0,110.1,0.564,110.1,108.4,0.531,0.374,0.458
49,0.451,41,-0.01,-0.1,110.4,0.55,110.5,106.6,0.513,0.357,0.437
50,0.561,40,-0.38,-0.4,113.2,0.579,113.6,112.0,0.541,0.369,0.48
51,0.439,38,-0.84,-1.0,112.0,0.557,113.0,110.3,0.517,0.332,0.457
52,0.402,33,-3.08,-3.0,110.3,0.567,113.3,115.1,0.537,0.347,0.469
53,0.427,32,-3.23,-3.4,111.1,0.568,114.5,112.0,0.532,0.342,0.472
54,0.305,32,-3.26,-3.5,112.6,0.564,116.1,114.9,0.531,0.344,0.463
55,0.366,28,-5.26,-5.4,109.9,0.561,115.3,115.8,0.525,0.344,0.46
56,0.28,22,-7.36,-7.8,106.0,0.533,113.8,112.5,0.494,0.326,0.431
57,0.268,21,-7.67,-8.0,104.5,0.538,112.5,112.2,0.503,0.331,0.434
58,0.293,21,-7.9,-8.2,104.6,0.53,112.8,111.8,0.497,0.323,0.43
59,0.244,21,-8.26,-8.3,108.4,0.565,116.7,118.2,0.534,0.349,0.456
60,0.329,20,-8.55,-9.1,107.8,0.55,116.9,115.1,0.515,0.346,0.442
61,,41,0.0,,112.0,0.566,112.0,,0.532,,
62,0.695,57,6.38,6.5,118.0,0.6,111.5,111.4,0.566,0.377,0.475
63,0.622,55,5.23,5.5,116.1,0.59,110.6,106.9,0.556,0.367,0.488
64,0.659,52,4.37,4.4,117.7,0.608,113.3,110.9,0.563,0.387,0.487
65,0.622,51,3.6,3.9,115.1,0.57,111.2,113.0,0.54,0.351,0.475
66,0.707,50,3.61,3.5,115.4,0.583,111.9,113.3,0.555,0.368,0.473
67,0.646,49,3.04,3.4,117.6,0.601,114.2,112.5,0.573,0.379,0.504
68,0.573,48,2.99,3.0,117.8,0.577,114.8,113.1,0.541,0.354,0.47
69,0.585,47,2.3,2.6,119.4,0.608,116.8,118.1,0.572,0.369,0.494
70,0.549,46,2.08,2.1,115.1,0.57,113.0,111.6,0.535,0.374,0.467
71,0.512,46,1.63,1.9,114.4,0.582,112.5,112.5,0.543,0.364,0.48
