Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,OKC,24.6,27.0,5.0,26,6,12.0,-0.73,11.27,115.5,103.5,12.0,99.9,0.209,0.422,0.571,,0.539,10.4,22.8,0.17,,0.499,16.6,73.1,0.214,,Paycom Center,285538,17840
2.0,CLE,26.7,29.0,4.0,27,6,11.88,-2.11,9.77,121.9,110.1,11.8,100.4,0.232,0.451,0.622,,0.595,11.8,22.5,0.18,,0.526,13.7,76.1,0.187,,Rocket Mortgage Fieldhouse,349776,19432
3.0,BOS,28.9,24.0,9.0,26,7,10.73,-1.37,9.36,120.7,109.9,10.8,98.2,0.235,0.552,0.593,,0.562,10.6,24.3,0.186,,0.523,12.1,77.2,0.158,,TD Garden,344808,18148
4.0,MEM,24.9,23.0,11.0,25,9,9.09,-1.87,7.22,116.8,108.2,8.6,105.5,0.263,0.412,0.591,,0.558,14.2,28.7,0.203,,0.513,13.8,75.2,0.207,,FedEx Forum,294029,16335
5.0,NYK,27.5,23.0,10.0,24,9,8.0,-2.02,5.98,121.1,112.9,8.2,97.0,0.237,0.413,0.609,,0.577,12.0,24.6,0.191,,0.54,12.3,76.2,0.173,,Madison Square Garden (IV),277368,19812
6.0,HOU,24.5,21.0,11.0,22,10,6.38,-0.29,6.09,112.9,106.5,6.4,99.1,0.248,0.389,0.542,,0.506,11.6,30.6,0.191,,0.505,13.3,76.5,0.191,,Toyota Center,275346,17209
7.0,DAL,27.6,20.0,13.0,22,11,5.64,-0.85,4.79,117.6,111.9,5.7,99.3,0.27,0.404,0.593,,0.559,12.6,25.3,0.21,,0.523,12.5,73.5,0.184,,American Airlines Center,301863,20124
8.0,DEN,26.9,18.0,13.0,18,13,3.0,-0.24,2.76,118.1,115.2,2.9,101.0,0.279,0.343,0.598,,0.566,12.6,26.1,0.211,,0.545,12.4,74.3,0.17,,Ball Arena,276949,19782
9.0,MIA,27.7,16.0,14.0,17,13,2.33,-0.27,2.06,113.4,111.0,2.4,96.9,0.267,0.443,0.572,,0.535,12.2,22.3,0.21,,0.536,13.8,75.1,0.17,,Kaseya Center,275121,19652
10.0,ORL,25.0,20.0,14.0,20,14,2.38,0.13,2.52,109.2,106.8,2.4,97.0,0.274,0.432,0.557,,0.515,14.0,25.4,0.216,,0.533,15.9,78.7,0.222,,Kia Center,313090,18417
11.0,MIN,27.7,17.0,15.0,18,14,1.81,0.06,1.87,111.2,109.4,1.8,97.5,0.229,0.466,0.577,,0.545,14.4,23.3,0.18,,0.529,14.1,75.7,0.176,,Target Center,284670,18978
12.0,MIL,29.7,17.0,14.0,17,14,1.32,-0.08,1.25,113.1,111.8,1.3,99.3,0.253,0.433,0.589,,0.562,12.9,19.2,0.185,,0.53,12.2,77.1,0.185,,Fiserv Forum,278293,17412
13.0,LAC,29.1,19.0,14.0,18,15,1.09,0.47,1.56,110.6,109.5,1.1,98.1,0.249,0.4,0.573,,0.538,14.9,25.0,0.195,,0.533,14.0,76.9,0.195,,Intuit Dome,278616,16389
14.0,SAC,27.6,14.0,19.0,18,15,1.09,-1.45,-0.36,114.9,113.8,1.1,99.0,0.246,0.39,0.577,,0.541,11.9,24.0,0.197,,0.548,13.4,77.6,0.209,,Golden 1 Center,303501,15974
15.0,GSW,28.3,16.0,16.0,17,15,0.94,1.12,2.06,111.4,110.4,1.0,99.8,0.227,0.447,0.549,,0.523,12.3,27.4,0.162,,0.526,13.4,75.8,0.191,,Chase Center,289024,18064
16.0,SAS,25.7,17.0,16.0,17,16,0.27,-0.91,-0.63,112.7,112.4,0.3,98.6,0.254,0.45,0.572,,0.534,13.1,24.7,0.203,,0.527,12.1,74.5,0.159,,Frost Bank Center,337435,17760
17.0,ATL,24.9,18.0,15.0,16,17,-0.97,-0.33,-1.3,113.1,114.0,-0.9,103.6,0.269,0.396,0.575,,0.537,13.8,26.8,0.211,,0.556,14.3,75.6,0.183,,State Farm Arena,280524,16501
18.0,PHO,29.3,15.0,17.0,14,18,-1.78,-0.03,-1.81,114.6,116.4,-1.8,97.3,0.265,0.446,0.588,,0.551,12.9,22.3,0.21,,0.546,11.7,75.4,0.192,,Footprint Center,307278,17071
19.0,IND,25.7,16.0,18.0,15,19,-2.24,-0.22,-2.45,114.1,116.4,-2.3,99.8,0.244,0.389,0.591,,0.559,12.9,20.7,0.191,,0.55,12.4,74.6,0.208,,Gainbridge Fieldhouse,237993,17000
20.0,LAL,28.0,18.0,14.0,14,18,-2.41,0.06,-2.35,113.3,115.8,-2.5,98.4,0.281,0.389,0.58,,0.541,12.3,21.6,0.221,,0.553,12.7,74.3,0.167,,Crypto.com Arena,280552,18703
21.0,DET,25.5,14.0,18.0,13,19,-2.94,0.27,-2.67,112.3,115.2,-2.9,98.7,0.23,0.419,0.572,,0.542,13.8,25.5,0.177,,0.556,13.0,76.9,0.197,,Little Caesars Arena,243245,18711
22.0,PHI,28.5,13.0,17.0,12,18,-3.07,0.06,-3.01,109.8,113.0,-3.2,96.6,0.284,0.416,0.558,,0.517,12.9,23.6,0.221,,0.556,15.8,74.6,0.206,,Wells Fargo Center,277941,19853
23.0,CHI,25.6,15.0,18.0,13,20,-3.48,1.08,-2.41,112.8,116.1,-3.3,103.9,0.207,0.48,0.585,,0.556,13.0,20.2,0.165,,0.545,10.6,77.5,0.182,,United Center,319236,19952
24.0,BRK,25.9,12.0,20.0,11,21,-4.94,1.42,-3.52,110.9,115.9,-5.0,96.6,0.251,0.468,0.577,,0.539,14.3,21.7,0.203,,0.565,14.0,75.6,0.227,,Barclays Center,247058,17647
25.0,CHO,25.3,7.0,25.0,10,22,-6.66,0.82,-5.84,107.7,114.4,-6.7,97.7,0.215,0.468,0.539,,0.507,14.0,27.6,0.166,,0.546,13.1,75.8,0.21,,Spectrum Center,310123,17229
