Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W_x,L_x,W/L%,GB,PS/G,PA/G,SRS_x,Conference,Rk,Age,W_y,L_y,PW,PL,MOV,SOS,SRS_y,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G,SRS
Memphis Grizzlies,36,240.0,45.0,93.2,.483,14.1,38.2,.370,30.9,55.0,.562,19.1,24.6,.776,12.9,35.6,48.5,30.5,9.0,6.4,17.4,21.3,123.2,2024/2025,23,13,.639,7.0,123.2,115.0,6.68,West,4.0,24.9,23.0,13.0,26,10,8.22,-1.54,6.68,116.9,109.1,7.8,105.4,0.264,0.41,0.592,,0.559,14.3,29.0,0.205,,0.519,13.7,75.3,0.205,,FedEx Forum,294029,16335,6.68
Cleveland Cavaliers,34,240.0,45.1,89.5,.504,16.4,40.3,.406,28.8,49.2,.585,16.1,20.7,.776,9.6,34.3,43.9,29.1,8.9,4.7,13.0,18.4,122.7,2024/2025,30,4,.882,—,122.7,110.8,9.88,East,2.0,26.7,30.0,4.0,27,7,11.88,-2.01,9.88,122.2,110.4,11.8,100.4,0.231,0.45,0.622,,0.596,11.7,22.5,0.179,,0.525,13.6,75.6,0.188,,Rocket Mortgage Fieldhouse,349776,19432,9.88
Denver Nuggets,34,242.9,45.1,90.6,.498,11.8,31.1,.379,33.4,59.5,.560,18.8,24.6,.763,10.9,34.4,45.4,31.7,8.8,4.7,14.1,18.0,120.8,2024/2025,20,14,.588,9.0,120.8,117.2,3.36,West,8.0,26.9,20.0,14.0,20,14,3.53,-0.17,3.36,117.9,114.5,3.4,101.2,0.271,0.343,0.595,,0.563,12.2,25.4,0.207,,0.542,12.3,74.4,0.166,,Ball Arena,316773,19798,3.36
Boston Celtics,35,242.1,42.1,91.0,.462,18.7,50.3,.371,23.4,40.7,.575,16.5,20.9,.787,10.9,34.0,45.0,25.7,7.7,5.6,11.8,16.1,119.3,2024/2025,26,9,.743,4.5,119.3,108.4,9.61,East,3.0,28.9,26.0,9.0,28,7,10.86,-1.25,9.61,121.3,110.3,11.0,97.5,0.23,0.553,0.595,,0.565,10.5,24.5,0.181,,0.523,12.2,76.7,0.16,,TD Garden,344808,18148,9.61
Chicago Bulls,35,240.7,43.1,92.1,.469,16.5,44.1,.374,26.7,48.0,.555,15.1,18.9,.798,9.2,35.9,45.1,29.6,7.5,4.7,15.1,18.3,117.9,2024/2025,16,19,.457,14.5,117.9,121.3,-2.83,East,22.0,25.6,16.0,19.0,14,21,-3.43,0.6,-2.83,113.0,116.2,-3.2,104.0,0.205,0.479,0.587,,0.558,13.1,20.2,0.164,,0.546,10.7,77.2,0.181,,United Center,341727,20102,-2.83
New York Knicks,36,240.7,43.8,87.8,.498,13.6,35.5,.382,30.2,52.3,.577,16.8,20.9,.800,10.1,33.3,43.4,27.8,7.7,4.0,13.1,17.2,117.8,2024/2025,24,12,.667,7.0,117.8,110.7,5.23,East,5.0,27.5,24.0,12.0,25,11,7.14,-1.91,5.23,120.7,113.4,7.3,97.3,0.239,0.404,0.607,,0.575,11.9,24.7,0.191,,0.542,12.4,76.3,0.172,,Madison Square Garden (IV),297180,19812,5.23
Atlanta Hawks,36,241.4,42.7,92.1,.464,12.9,36.8,.350,29.8,55.3,.540,18.9,24.1,.781,12.1,33.4,45.5,29.7,10.4,5.3,16.3,18.4,117.1,2024/2025,18,18,.500,13.0,117.1,119.7,-2.83,East,21.0,24.9,18.0,18.0,15,21,-2.61,-0.22,-2.83,112.2,114.7,-2.5,103.8,0.262,0.4,0.57,,0.534,13.7,26.3,0.205,,0.56,14.2,75.7,0.184,,State Farm Arena,280524,16501,-2.83
Dallas Mavericks,35,240.7,42.5,88.2,.482,13.3,35.7,.373,29.2,52.5,.556,18.4,23.8,.773,11.0,33.8,44.8,25.0,8.2,6.0,14.4,19.1,116.7,2024/2025,20,15,.571,9.5,116.7,112.1,4.54,West,7.0,27.6,20.0,15.0,22,13,4.66,-0.12,4.54,117.1,112.4,4.7,99.4,0.27,0.404,0.592,,0.557,12.7,25.5,0.209,,0.526,12.4,73.9,0.184,,American Airlines Center,322094,20131,4.54
Oklahoma City Thunder,34,240.0,43.1,92.1,.468,13.5,38.6,.349,29.6,53.4,.554,15.8,19.4,.813,10.1,33.6,43.6,25.9,11.8,6.0,11.7,20.2,115.4,2024/2025,29,5,.853,—,115.4,103.3,11.78,West,1.0,24.5,29.0,5.0,28,6,12.12,-0.34,11.78,115.7,103.6,12.1,99.7,0.211,0.419,0.574,,0.541,10.4,22.3,0.171,,0.501,16.5,73.2,0.209,,Paycom Center,303741,16812,11.78
Sacramento Kings,35,242.1,42.8,89.9,.476,12.1,35.3,.342,30.7,54.6,.563,17.8,22.1,.805,10.5,33.2,43.7,26.0,8.1,4.7,13.4,20.1,115.4,2024/2025,16,19,.457,13.5,115.4,114.1,0.24,West,11.0,27.7,16.0,19.0,19,16,1.34,-1.1,0.24,115.4,114.1,1.3,99.1,0.246,0.392,0.579,,0.543,11.9,24.2,0.198,,0.55,13.5,77.3,0.211,,Golden 1 Center,336126,16006,0.24
Indiana Pacers,36,241.4,42.9,88.0,.488,12.9,34.4,.374,30.1,53.6,.561,16.6,21.2,.781,8.9,32.6,41.5,28.2,8.0,5.2,14.0,19.6,115.3,2024/2025,18,18,.500,13.0,115.3,116.6,-1.66,East,17.0,25.7,18.0,18.0,17,19,-1.25,-0.41,-1.66,115.2,116.4,-1.2,99.6,0.241,0.39,0.592,,0.561,12.6,21.2,0.188,,0.553,12.5,75.1,0.21,,Gainbridge Fieldhouse,255267,17018,-1.66
Golden State Warriors,34,240.7,41.3,91.9,.450,15.3,41.3,.370,26.1,50.6,.515,14.7,20.6,.711,12.8,33.9,46.7,28.9,8.9,5.5,14.3,19.4,112.6,2024/2025,18,16,.529,11.0,112.6,110.5,3.38,West,10.0,28.4,18.0,16.0,19,15,2.12,1.26,3.38,112.5,110.4,2.1,99.8,0.225,0.449,0.557,,0.533,12.4,27.1,0.16,,0.526,13.5,75.8,0.193,,Chase Center,325152,18064,3.38
Milwaukee Bucks,33,240.8,41.1,86.5,.475,14.3,37.4,.383,26.8,49.1,.545,15.8,21.5,.733,8.3,35.1,43.4,24.4,7.9,5.1,14.1,18.5,112.3,2024/2025,17,16,.515,12.5,112.3,111.2,0.38,East,14.0,29.8,17.0,16.0,18,15,1.06,-0.68,0.38,112.7,111.6,1.1,99.3,0.249,0.432,0.585,,0.558,12.8,19.2,0.183,,0.53,12.3,77.0,0.186,,Fiserv Forum,313229,17419,0.38
Los Angeles Lakers,34,240.7,40.8,86.2,.473,11.8,33.6,.352,28.9,52.6,.550,18.8,23.9,.789,9.6,32.1,41.7,26.5,7.7,4.8,13.6,16.4,112.2,2024/2025,20,14,.588,9.0,112.2,113.7,-1.67,West,18.0,27.9,20.0,14.0,15,19,-1.53,-0.14,-1.67,113.7,115.2,-1.5,98.4,0.277,0.389,0.58,,0.541,12.4,22.4,0.218,,0.549,12.7,74.5,0.167,,Crypto.com Arena,317361,18668,-1.67
Houston Rockets,34,242.2,41.3,93.6,.441,11.8,36.2,.325,29.5,57.4,.514,17.7,23.0,.772,14.2,34.7,48.9,21.8,8.6,5.4,13.7,19.7,112.1,2024/2025,22,12,.647,7.0,112.1,106.4,6.01,West,6.0,24.6,22.0,12.0,23,11,5.65,0.36,6.01,112.4,106.8,5.6,98.8,0.245,0.387,0.54,,0.504,11.7,30.2,0.19,,0.511,13.5,76.4,0.188,,Toyota Center,311456,17303,6.01
Phoenix Suns,33,241.5,39.9,85.3,.468,14.2,37.8,.376,25.7,47.4,.541,18.0,22.6,.799,9.4,33.2,42.6,27.0,7.8,5.2,14.2,18.0,112.1,2024/2025,15,18,.455,13.5,112.1,114.4,-2.17,West,20.0,29.3,15.0,18.0,14,19,-2.27,0.11,-2.17,114.5,116.8,-2.3,97.3,0.265,0.444,0.589,,0.552,12.9,22.1,0.211,,0.546,11.5,75.2,0.192,,Footprint Center,307278,17071,-2.17
