Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W,L,W/L%,PS/G,PA/G,Conference
Memphis Grizzlies,30,240.0,45.1,92.9,0.486,13.9,37.6,0.37,31.2,55.3,0.564,18.5,23.9,0.773,12.5,35.7,48.2,30.5,9.2,6.5,17.1,21.6,122.7,2024/2025,20,10,0.667,122.7,113.0,West
Cleveland Cavaliers,30,240.0,44.7,88.7,0.504,16.1,39.6,0.406,28.6,49.1,0.583,16.4,21.2,0.775,9.5,34.0,43.5,28.5,9.1,4.4,13.2,18.3,121.8,2024/2025,26,4,0.867,121.8,110.2,East
Denver Nuggets,28,242.7,44.3,89.3,0.496,11.6,30.9,0.376,32.6,58.4,0.559,18.9,25.1,0.751,11.1,34.1,45.2,30.9,8.7,4.6,14.9,18.3,119.1,2024/2025,16,12,0.571,119.1,116.1,West
Boston Celtics,30,242.5,41.7,91.5,0.456,18.4,50.4,0.365,23.3,41.1,0.568,17.1,21.5,0.797,10.8,34.5,45.3,25.4,7.5,5.5,12.1,16.2,118.9,2024/2025,22,8,0.733,118.9,109.8,East
Dallas Mavericks,30,240.8,43.2,88.9,0.486,13.5,35.8,0.377,29.7,53.1,0.559,18.4,23.8,0.771,11.3,34.0,45.4,25.5,8.5,5.5,14.2,19.2,118.2,2024/2025,19,11,0.633,118.2,111.8,West
New York Knicks,30,240.0,43.4,87.3,0.497,14.4,36.4,0.396,28.9,50.9,0.569,16.1,20.0,0.805,9.7,33.1,42.8,28.1,7.6,4.2,13.1,17.4,117.3,2024/2025,20,10,0.667,117.3,110.1,East
Chicago Bulls,30,240.0,42.7,91.3,0.468,16.3,44.0,0.37,26.4,47.3,0.558,15.5,19.3,0.8,9.0,35.7,44.7,29.1,7.4,4.7,15.1,18.3,117.2,2024/2025,13,17,0.433,117.2,121.1,East
Atlanta Hawks,30,241.7,42.6,91.9,0.463,12.5,35.7,0.35,30.1,56.2,0.535,18.8,24.1,0.78,12.3,33.8,46.1,29.6,10.2,5.4,16.7,18.8,116.4,2024/2025,15,15,0.5,116.4,119.0,East
Oklahoma City Thunder,28,240.0,42.8,92.3,0.464,13.6,39.0,0.349,29.2,53.3,0.548,15.8,19.5,0.813,10.5,33.5,44.0,25.5,12.2,6.3,11.9,20.8,115.1,2024/2025,23,5,0.821,115.1,103.1,West
Sacramento Kings,30,242.5,42.5,89.4,0.476,11.9,34.8,0.342,30.6,54.6,0.561,17.8,22.3,0.801,10.2,33.4,43.6,25.7,8.2,4.8,13.4,20.0,114.8,2024/2025,13,17,0.433,114.8,113.6,West
Indiana Pacers,30,241.7,42.8,87.3,0.49,12.8,34.1,0.376,30.0,53.2,0.563,16.4,20.7,0.793,8.3,32.2,40.6,27.9,8.4,5.3,14.6,19.9,114.8,2024/2025,15,15,0.5,114.8,115.9,East
Phoenix Suns,29,241.7,40.2,85.1,0.472,14.7,38.6,0.382,25.5,46.6,0.547,18.1,22.7,0.798,9.3,33.4,42.7,27.2,7.8,4.7,14.0,18.1,113.3,2024/2025,15,14,0.517,113.3,114.6,West
Houston Rockets,29,242.6,41.4,93.8,0.442,11.8,36.3,0.324,29.7,57.5,0.516,18.3,23.8,0.77,14.2,35.4,49.6,22.6,8.6,5.7,13.6,20.0,112.9,2024/2025,20,9,0.69,112.9,106.3,West
Golden State Warriors,29,240.9,41.3,91.8,0.45,15.4,41.4,0.372,26.0,50.4,0.515,14.8,20.9,0.706,12.8,34.2,47.0,28.9,8.8,5.4,14.3,19.8,112.8,2024/2025,15,14,0.517,112.8,111.0,West
Milwaukee Bucks,28,240.9,41.0,85.3,0.481,14.5,37.1,0.391,26.5,48.1,0.55,16.3,22.3,0.729,8.1,35.1,43.2,24.4,7.6,5.4,14.2,18.5,112.8,2024/2025,16,12,0.571,112.8,111.2,East
