Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Season
Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28,East,2020/2021
Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24,East,2020/2021
Milwaukee Bucks*,46,26,.639,3.0,120.1,114.2,5.57,East,2020/2021
New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13,East,2020/2021
Atlanta Hawks*,41,31,.569,8.0,113.7,111.4,2.14,East,2020/2021
Miami Heat*,40,32,.556,9.0,108.1,108.0,-0.06,East,2020/2021
Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32,East,2020/2021
Washington Wizards*,34,38,.472,15.0,116.6,118.5,-1.85,East,2020/2021
Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13,East,2020/2021
Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94,East,2020/2021
Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94,East,2020/2021
Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,East,2020/2021
Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19,East,2020/2021
Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02,East,2020/2021
Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38,East,2020/2021
Utah Jazz*,52,20,.722,—,116.4,107.2,8.97,West,2020/2021
Phoenix Suns*,51,21,.708,1.0,115.3,109.5,5.67,West,2020/2021
Denver Nuggets*,47,25,.653,5.0,115.1,110.1,4.82,West,2020/2021
Los Angeles Clippers*,47,25,.653,5.0,114.0,107.8,6.02,West,2020/2021
Dallas Mavericks*,42,30,.583,10.0,112.4,110.2,2.26,West,2020/2021
Portland Trail Blazers*,42,30,.583,10.0,116.1,114.3,1.81,West,2020/2021
Los Angeles Lakers*,42,30,.583,10.0,109.5,106.8,2.77,West,2020/2021
Golden State Warriors,39,33,.542,13.0,113.7,112.7,1.10,West,2020/2021
Memphis Grizzlies*,38,34,.528,14.0,113.3,112.3,1.07,West,2020/2021
San Antonio Spurs,33,39,.458,19.0,111.1,112.8,-1.58,West,2020/2021
New Orleans Pelicans,31,41,.431,21.0,114.6,114.9,-0.20,West,2020/2021
Sacramento Kings,31,41,.431,21.0,113.7,117.4,-3.45,West,2020/2021
Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25,West,2020/2021
