Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Season
Cleveland Cavaliers (1) ,26,4,.867,—,121.8,110.2,9.05,East,2024/2025
Boston Celtics (2) ,22,8,.733,4.0,118.9,109.8,7.86,East,2024/2025
New York Knicks (3) ,20,10,.667,6.0,117.3,110.1,5.64,East,2024/2025
Orlando Magic (4) ,19,12,.613,7.5,107.3,103.9,3.29,East,2024/2025
Milwaukee Bucks (5) ,16,12,.571,9.0,112.8,111.2,1.47,East,2024/2025
Miami Heat (6) ,14,13,.519,10.5,112.1,109.4,2.49,East,2024/2025
Atlanta Hawks (7) ,15,15,.500,11.0,116.4,119.0,-3.05,East,2024/2025
Indiana Pacers (8) ,15,15,.500,11.0,114.8,115.9,-2.22,East,2024/2025
Chicago Bulls (9) ,13,17,.433,13.0,117.2,121.1,-2.77,East,2024/2025
Detroit Pistons (10) ,13,17,.433,13.0,111.9,114.6,-2.55,East,2024/2025
Philadelphia 76ers (11) ,11,17,.393,14.0,106.4,110.5,-3.32,East,2024/2025
Brooklyn Nets (12) ,11,18,.379,14.5,108.7,114.0,-3.84,East,2024/2025
Charlotte Hornets (13) ,7,22,.241,18.5,106.4,113.0,-5.77,East,2024/2025
Toronto Raptors (14) ,7,23,.233,19.0,112.1,117.3,-3.89,East,2024/2025
Washington Wizards (15) ,4,23,.148,20.5,107.4,122.2,-11.53,East,2024/2025
Oklahoma City Thunder (1) ,23,5,.821,—,115.1,103.1,11.28,West,2024/2025
Houston Rockets (2) ,20,9,.690,3.5,112.9,106.3,6.66,West,2024/2025
Memphis Grizzlies (3) ,20,10,.667,4.0,122.7,113.0,7.72,West,2024/2025
Dallas Mavericks (4) ,19,11,.633,5.0,118.2,111.8,5.91,West,2024/2025
Denver Nuggets (5) ,16,12,.571,7.0,119.1,116.1,3.04,West,2024/2025
Los Angeles Lakers (6) ,17,13,.567,7.0,111.3,113.8,-2.64,West,2024/2025
Los Angeles Clippers (7) ,17,13,.567,7.0,109.6,107.6,2.95,West,2024/2025
Phoenix Suns (8) ,15,14,.517,8.5,113.3,114.6,-1.69,West,2024/2025
Minnesota Timberwolves (9) ,15,14,.517,8.5,109.1,106.9,1.86,West,2024/2025
Golden State Warriors (10) ,15,14,.517,8.5,112.8,111.0,2.76,West,2024/2025
San Antonio Spurs (11) ,15,15,.500,9.0,111.7,112.8,-2.08,West,2024/2025
Sacramento Kings (12) ,13,17,.433,11.0,114.8,113.6,-0.34,West,2024/2025
Portland Trail Blazers (13) ,9,20,.310,14.5,107.1,116.8,-8.90,West,2024/2025
Utah Jazz (14) ,7,21,.250,16.0,110.3,119.5,-8.05,West,2024/2025
New Orleans Pelicans (15) ,5,25,.167,19.0,105.7,117.2,-10.36,West,2024/2025
