,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,W,L,W/L%,PS/G,PA/G,Conference,PTS_rolling_avg,ORB_rolling_avg,DRB_rolling_avg,AST_rolling_avg,3P_rolling_avg,3PA_rolling_avg,STL_rolling_avg,BLK_rolling_avg,Point_Differential,win_ratio_trend
0,Milwaukee Bucks,72,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,2021,46,26,0.639,120.1,114.2,East,120.1,10.3,37.8,25.5,14.4,37.1,8.1,4.6,5.899999999999992,
1,Brooklyn Nets,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29.0,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,2021,48,24,0.667,118.6,114.1,East,118.6,8.9,35.5,26.8,14.2,36.1,6.7,5.3,4.5,
2,Washington Wizards,72,241.7,43.2,90.9,0.475,10.2,29.0,0.351,33.0,61.9,0.533,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,2021,34,38,0.472,116.6,118.5,East,116.6,9.7,35.5,25.5,10.2,29.0,7.3,4.1,-1.9000000000000057,
3,Utah Jazz,72,241.0,41.3,88.1,0.468,16.7,43.0,0.389,24.5,45.1,0.544,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2021,52,20,0.722,116.4,107.2,West,116.4,10.6,37.6,23.7,16.7,43.0,6.6,5.2,9.200000000000005,
4,Portland Trail Blazers,72,240.3,41.3,91.1,0.453,15.7,40.8,0.385,25.6,50.3,0.509,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,2021,42,30,0.583,116.1,114.3,West,116.1,10.6,33.9,21.3,15.7,40.8,6.9,5.0,1.7999999999999972,
5,Phoenix Suns,72,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,2021,51,21,0.708,115.3,109.5,West,115.3,8.8,34.2,26.9,13.1,34.6,7.2,4.3,5.799999999999997,
6,Indiana Pacers,72,242.4,43.3,91.2,0.474,12.3,34.0,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,2021,34,38,0.472,115.3,115.3,East,115.3,9.0,33.7,27.4,12.3,34.0,8.5,6.4,0.0,
7,Denver Nuggets,72,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55.0,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,2021,47,25,0.653,115.1,110.1,West,115.1,10.5,33.9,26.8,12.9,34.2,8.1,4.5,5.0,
8,New Orleans Pelicans,72,242.1,42.5,89.1,0.477,10.6,30.4,0.348,31.9,58.6,0.544,19.0,26.1,0.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,2021,31,41,0.431,114.6,114.9,West,114.6,11.7,35.7,26.0,10.6,30.4,7.6,4.4,-0.3000000000000113,
9,Los Angeles Clippers,72,240.0,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52.0,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,2021,47,25,0.653,114.0,107.8,West,114.0,9.4,34.7,24.4,14.3,34.7,7.1,4.1,6.200000000000003,
10,Atlanta Hawks,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,2021,41,31,0.569,113.7,111.4,East,113.7,10.6,35.1,24.1,12.4,33.4,7.0,4.8,2.299999999999997,
11,Sacramento Kings,72,240.3,42.6,88.6,0.481,12.1,33.3,0.364,30.5,55.3,0.551,16.4,22.0,0.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,2021,31,41,0.431,113.7,117.4,West,113.7,9.4,32.0,25.5,12.1,33.3,7.5,5.0,-3.700000000000003,
12,Golden State Warriors,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,2021,39,33,0.542,113.7,112.7,West,113.7,8.0,35.1,27.7,14.6,38.7,8.2,4.8,1.0,
13,Philadelphia 76ers,72,242.1,41.4,86.9,0.476,11.3,30.1,0.374,30.1,56.8,0.531,19.6,25.5,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,2021,49,23,0.681,113.6,108.1,East,113.6,10.0,35.0,23.7,11.3,30.1,9.1,6.2,5.5,
14,Memphis Grizzlies,72,241.7,42.8,91.8,0.467,11.2,31.4,0.356,31.7,60.4,0.525,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,2021,38,34,0.528,113.3,112.3,West,113.3,11.2,35.3,26.9,11.2,31.4,9.1,5.1,1.0,
15,Boston Celtics,72,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,2021,36,36,0.5,112.6,111.2,East,112.6,10.6,33.6,23.5,13.6,36.4,7.7,5.3,1.3999999999999917,
16,Dallas Mavericks,72,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2021,42,30,0.583,112.4,110.2,West,112.4,9.1,34.2,22.9,13.8,38.1,6.3,4.3,2.200000000000003,
17,Minnesota Timberwolves,72,241.7,40.7,90.9,0.448,13.1,37.6,0.349,27.6,53.3,0.518,17.6,23.1,0.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,2021,23,49,0.319,112.1,117.7,West,112.1,10.5,33.0,25.6,13.1,37.6,8.8,5.5,-5.6000000000000085,
18,Toronto Raptors,72,240.3,39.7,88.7,0.448,14.5,39.3,0.368,25.3,49.3,0.512,17.4,21.3,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,2021,27,45,0.375,111.3,111.7,East,111.3,9.4,32.1,24.1,14.5,39.3,8.6,5.4,-0.4000000000000057,
19,San Antonio Spurs,72,242.8,41.9,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22.0,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,2021,33,39,0.458,111.1,112.8,West,111.1,9.3,34.6,24.4,9.9,28.4,7.0,5.1,-1.7000000000000028,
20,Chicago Bulls,72,241.4,42.2,88.6,0.476,12.6,34.0,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,2021,31,41,0.431,110.7,111.6,East,110.7,9.6,35.3,26.8,12.6,34.0,6.7,4.2,-0.8999999999999915,
21,Los Angeles Lakers,72,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2021,42,30,0.583,109.5,106.8,West,109.5,9.7,34.6,24.7,11.1,31.2,7.8,5.4,2.700000000000003,
22,Charlotte Hornets,72,241.0,39.9,87.8,0.455,13.7,37.0,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,2021,33,39,0.458,109.5,111.4,East,109.5,10.6,33.2,26.8,13.7,37.0,7.8,4.8,-1.9000000000000057,
23,Houston Rockets,72,240.3,39.3,88.5,0.444,13.8,40.6,0.339,25.5,47.9,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,2021,17,55,0.236,108.8,116.7,West,108.8,9.3,33.3,23.6,13.8,40.6,7.6,5.0,-7.900000000000006,
24,Miami Heat,72,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,2021,40,32,0.556,108.1,108.0,East,108.1,8.0,33.5,26.3,12.9,36.2,7.9,4.0,0.0999999999999943,
