Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Milwaukee Bucks*,72,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,2020/2021
Brooklyn Nets*,72,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,2020/2021
Washington Wizards*,72,241.7,43.2,90.9,.475,10.2,29.0,.351,33.0,61.9,.533,20.1,26.2,.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,2020/2021
Utah Jazz*,72,241.0,41.3,88.1,.468,16.7,43.0,.389,24.5,45.1,.544,17.2,21.5,.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2020/2021
Portland Trail Blazers*,72,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,2020/2021
Phoenix Suns*,72,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,2020/2021
Indiana Pacers,72,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,2020/2021
Denver Nuggets*,72,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,2020/2021
New Orleans Pelicans,72,242.1,42.5,89.1,.477,10.6,30.4,.348,31.9,58.6,.544,19.0,26.1,.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,2020/2021
Los Angeles Clippers*,72,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,2020/2021
Atlanta Hawks*,72,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,2020/2021
Sacramento Kings,72,240.3,42.6,88.6,.481,12.1,33.3,.364,30.5,55.3,.551,16.4,22.0,.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,2020/2021
Golden State Warriors,72,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,2020/2021
Philadelphia 76ers*,72,242.1,41.4,86.9,.476,11.3,30.1,.374,30.1,56.8,.531,19.6,25.5,.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,2020/2021
Memphis Grizzlies*,72,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,2020/2021
Boston Celtics*,72,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,2020/2021
Dallas Mavericks*,72,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2020/2021
Minnesota Timberwolves,72,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,2020/2021
Toronto Raptors,72,240.3,39.7,88.7,.448,14.5,39.3,.368,25.3,49.3,.512,17.4,21.3,.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,2020/2021
San Antonio Spurs,72,242.8,41.9,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,2020/2021
Chicago Bulls,72,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,2020/2021
Los Angeles Lakers*,72,242.4,40.6,86.1,.472,11.1,31.2,.354,29.6,54.8,.539,17.2,23.3,.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2020/2021
Charlotte Hornets,72,241.0,39.9,87.8,.455,13.7,37.0,.369,26.3,50.8,.517,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,2020/2021
Houston Rockets,72,240.3,39.3,88.5,.444,13.8,40.6,.339,25.5,47.9,.532,16.5,22.3,.740,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,2020/2021
Miami Heat*,72,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,2020/2021
New York Knicks*,72,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,2020/2021
Detroit Pistons,72,242.1,38.7,85.6,.452,11.6,32.9,.351,27.1,52.7,.515,17.8,23.4,.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,2020/2021
Oklahoma City Thunder,72,241.0,38.8,88.0,.441,11.9,35.1,.339,26.9,52.9,.509,15.5,21.3,.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,2020/2021
Orlando Magic,72,240.7,38.3,89.2,.429,10.9,31.8,.343,27.4,57.4,.476,16.6,21.4,.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,2020/2021
Cleveland Cavaliers,72,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,2020/2021
Minnesota Timberwolves*,82,241.2,41.6,91.0,.457,14.8,41.3,.358,26.8,49.7,.540,18.0,23.1,.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,2021/2022
Memphis Grizzlies*,82,241.2,43.5,94.4,.461,11.5,32.7,.353,32.0,61.7,.519,17.0,23.1,.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6,2021/2022
Milwaukee Bucks*,82,240.9,41.8,89.4,.468,14.1,38.4,.366,27.8,51.0,.544,17.8,22.9,.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5,2021/2022
