Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Memphis Grizzlies,30,240.0,45.1,92.9,.486,13.9,37.6,.370,31.2,55.3,.564,18.5,23.9,.773,12.5,35.7,48.2,30.5,9.2,6.5,17.1,21.6,122.7,2024/2025
Cleveland Cavaliers,30,240.0,44.7,88.7,.504,16.1,39.6,.406,28.6,49.1,.583,16.4,21.2,.775,9.5,34.0,43.5,28.5,9.1,4.4,13.2,18.3,121.8,2024/2025
Denver Nuggets,28,242.7,44.3,89.3,.496,11.6,30.9,.376,32.6,58.4,.559,18.9,25.1,.751,11.1,34.1,45.2,30.9,8.7,4.6,14.9,18.3,119.1,2024/2025
Boston Celtics,30,242.5,41.7,91.5,.456,18.4,50.4,.365,23.3,41.1,.568,17.1,21.5,.797,10.8,34.5,45.3,25.4,7.5,5.5,12.1,16.2,118.9,2024/2025
Dallas Mavericks,30,240.8,43.2,88.9,.486,13.5,35.8,.377,29.7,53.1,.559,18.4,23.8,.771,11.3,34.0,45.4,25.5,8.5,5.5,14.2,19.2,118.2,2024/2025
New York Knicks,30,240.0,43.4,87.3,.497,14.4,36.4,.396,28.9,50.9,.569,16.1,20.0,.805,9.7,33.1,42.8,28.1,7.6,4.2,13.1,17.4,117.3,2024/2025
Chicago Bulls,30,240.0,42.7,91.3,.468,16.3,44.0,.370,26.4,47.3,.558,15.5,19.3,.800,9.0,35.7,44.7,29.1,7.4,4.7,15.1,18.3,117.2,2024/2025
Atlanta Hawks,30,241.7,42.6,91.9,.463,12.5,35.7,.350,30.1,56.2,.535,18.8,24.1,.780,12.3,33.8,46.1,29.6,10.2,5.4,16.7,18.8,116.4,2024/2025
Oklahoma City Thunder,28,240.0,42.8,92.3,.464,13.6,39.0,.349,29.2,53.3,.548,15.8,19.5,.813,10.5,33.5,44.0,25.5,12.2,6.3,11.9,20.8,115.1,2024/2025
Sacramento Kings,30,242.5,42.5,89.4,.476,11.9,34.8,.342,30.6,54.6,.561,17.8,22.3,.801,10.2,33.4,43.6,25.7,8.2,4.8,13.4,20.0,114.8,2024/2025
Indiana Pacers,30,241.7,42.8,87.3,.490,12.8,34.1,.376,30.0,53.2,.563,16.4,20.7,.793,8.3,32.2,40.6,27.9,8.4,5.3,14.6,19.9,114.8,2024/2025
Phoenix Suns,29,241.7,40.2,85.1,.472,14.7,38.6,.382,25.5,46.6,.547,18.1,22.7,.798,9.3,33.4,42.7,27.2,7.8,4.7,14.0,18.1,113.3,2024/2025
Houston Rockets,29,242.6,41.4,93.8,.442,11.8,36.3,.324,29.7,57.5,.516,18.3,23.8,.770,14.2,35.4,49.6,22.6,8.6,5.7,13.6,20.0,112.9,2024/2025
