Team,Predicted W/L%,Predicted Rank
Cleveland Cavaliers,0.7304561991040907,1
Oklahoma City Thunder,0.7222918066056604,2
Boston Celtics,0.6664336222435427,3
Memphis Grizzlies,0.6448821237189769,4
New York Knicks,0.6305431049411724,5
Dallas Mavericks,0.5752861653698346,6
Houston Rockets,0.5649193672104944,7
Denver Nuggets,0.5080153750837011,8
Orlando Magic,0.499600512847619,9
Minnesota Timberwolves,0.4936192419777342,10
Milwaukee Bucks,0.48886366959601324,11
Los Angeles Clippers,0.4863284406916452,12
Miami Heat,0.48448441711395057,13
Golden State Warriors,0.4608392584364764,14
Sacramento Kings,0.4446743118882641,15
League Average,0.43076204983044336,16
San Antonio Spurs,0.4272833450023527,17
Atlanta Hawks,0.3972079984951331,18
Indiana Pacers,0.3931645904011737,19
Phoenix Suns,0.3912799158513716,20
Los Angeles Lakers,0.3711971399336518,21
Detroit Pistons,0.3629426438957287,22
Chicago Bulls,0.35692576542626336,23
Philadelphia 76ers,0.3412588401732962,24
Brooklyn Nets,0.3228796027299432,25
Charlotte Hornets,0.2563146650971726,26
Toronto Raptors,0.23999430911201236,27
Utah Jazz,0.21089357722001117,28
Portland Trail Blazers,0.1830988222635786,29
New Orleans Pelicans,0.1422100477055428,30
Washington Wizards,0.10451802308818953,31
